answer.topic_new,scenario.id
"['LGBTQ+ issues, including transgender issues', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7398612488058719530
['Other'],7422323625262402847
['Government or politics generally'],7409089686695693599
['Government or politics generally'],7403442413676678430
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7391023768543563039
"['Climate change', 'Government or politics generally']",7359583561349106990
"['Abortion and reproductive health', 'Guns and gun control', 'Economy generally', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7421163892606553390
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally']",7396832641233849630
['Government or politics generally'],7421697498915392810
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7415717636031434026
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7416871370157575455
['Government or politics generally'],7413195850597387550
"['Immigration', 'Other public health issues', 'Government or politics generally']",7426090022744493342
"['Crime generally', 'Guns and gun control', 'Education']",7410869110466186527
"['Biden dropping out of the presidential race', 'Government or politics generally']",7423801725783411998
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7405779774251011370
['Government or politics generally'],7421339428137979182
"['LGBTQ+ issues, including transgender issues', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7396138818136657198
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7364446921873902894
"['Economy generally', 'Government or politics generally']",7421020273442311467
['Government or politics generally'],7417187340814224682
"['Government or politics generally', 'Biden dropping out of the presidential race']",7406102760979959070
['Government or politics generally'],7394508201112259883
['Government or politics generally'],7406041801200618794
"['Biden dropping out of the presidential race', 'Government or politics generally']",7393035809584074015
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7421610228711542059
"['Abortion and reproductive health', 'Government or politics generally']",7413198979975875871
"['Assassination attempt on Donald Trump', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7391561034298903838
"['Assassination attempt on Donald Trump', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7391561034298903838
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7399634269393521952
['Government or politics generally'],7353443076842540330
"['Immigration', 'Government or politics generally']",7417522182298799391
"['Immigration', 'Government or politics generally']",7417522182298799391
"['Crime generally', 'Immigration', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7400084694869593376
"['Other public health issues', 'Government or politics generally']",7403737736076627230
"['Other public health issues', 'Government or politics generally']",7403737736076627230
"['Government or politics generally', 'Other']",7418545321002765601
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7378517360715582763
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7378517360715582763
"['Other public health issues', 'Economy generally', 'Government or politics generally']",7389258298521898270
['Government or politics generally'],7421681184402443563
['Government or politics generally'],7400045767022349599
"['Immigration', 'Abortion and reproductive health', 'Racial issues, including affirmative action and racial discrimination', 'Economy generally', 'Government or politics generally']",7414144622299041054
['Government or politics generally'],7403170183142968619
"['Other vaccines', 'Other public health issues', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7416474057807433006
"['Crime generally', 'Government or politics generally']",7374909146694667566
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7400472455342476574
"['Government or politics generally', 'Ukraine war']",7418298221778210081
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7412861836074175752
"['Government or politics generally', 'Biden dropping out of the presidential race']",7434232964550053163
['Government or politics generally'],7422090398740450606
"['Abortion and reproductive health', 'Government or politics generally']",7396439173512596782
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7400169685985152286
"['Crime generally', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7418399368669170951
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7350621092089777413
"['Abortion and reproductive health', 'Government or politics generally']",7429925248541379886
"['Government or politics generally', 'Ukraine war', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7273182922818063659
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7429048597347306783
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7413013329704242463
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7370818771520359723
['Government or politics generally'],7416446703018069290
"['Biden dropping out of the presidential race', 'Government or politics generally']",7390570982596988191
"['LGBTQ+ issues, including transgender issues', 'Government or politics generally']",7428242154633301278
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7420950458123980074
"['Biden dropping out of the presidential race', 'Government or politics generally']",7388294515733384479
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7416068583790300447
['Government or politics generally'],7404228460694064426
"['Racial issues, including affirmative action and racial discrimination', 'Economy generally']",7419084802994769182
"['Crime generally', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7388304465998187806
"['Biden dropping out of the presidential race', 'Government or politics generally']",7418648756012240159
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7412687154335239454
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7382237286093589781
"['Government or politics generally', 'Biden dropping out of the presidential race']",7402338182265703726
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7413423098034179358
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7428626511781104902
"['Economy generally', 'Government or politics generally']",7416481413735681311
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7353342354406870305
"['Crime generally', 'Racial issues, including affirmative action and racial discrimination']",7395596331663838506
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7410081772035214593
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7378614360907861294
"['Crime generally', 'Government or politics generally']",7390815926066679070
"['Government or politics generally', 'Biden dropping out of the presidential race']",7427871612294221088
"['Crime generally', 'Racial issues, including affirmative action and racial discrimination']",7424257256360906017
"['Covid, including covid vaccines', 'Economy generally', 'Government or politics generally']",7400146271807294762
"['LGBTQ+ issues, including transgender issues', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7403860955068632363
"['Crime generally', 'Racial issues, including affirmative action and racial discrimination']",7395149064825802017
"['Biden dropping out of the presidential race', 'Government or politics generally']",7401225837225217310
"['Immigration', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7416075980004920606
"['Government or politics generally', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7378228961274449198
"['LGBTQ+ issues, including transgender issues', 'Racial issues, including affirmative action and racial discrimination', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally', 'Government or politics generally']",7406451901769731359
"['Government or politics generally', 'Biden dropping out of the presidential race']",7425701668416752929
"['Climate change', 'Immigration', 'Economy generally', 'Government or politics generally']",7422727606845410603
['Government or politics generally'],7429154460217347374
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7421067827852971295
['Government or politics generally'],7366349093632838954
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7404976592314977582
"['Immigration', 'Government or politics generally']",7423241176385457451
"['Guns and gun control', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7412320821403749675
"['Guns and gun control', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7412320821403749675
"['Crime generally', 'Government or politics generally']",7418773428322438446
"['Abortion and reproductive health', 'Government or politics generally']",7421000305627712811
['Government or politics generally'],7420551739675544878
"['Democratic National Convention (DNC)', 'Government or politics generally']",7404981579216407839
['Government or politics generally'],7417162271455005995
"['Government or politics generally', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7418045534587325727
"['Government or politics generally', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7418045534587325727
['Government or politics generally'],7409058275532016927
"['Economy generally', 'Government or politics generally']",7358750964574342446
['Government or politics generally'],7394109759328210207
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7421379076012674337
"['Economy generally', 'Government or politics generally']",7413898331627277610
"['Assassination attempt on Donald Trump', 'Government or politics generally']",7415009327758495022
"['Education', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7382302189789662506
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7378536283271941407
"['Economy generally', 'Government or politics generally']",7429081746936712494
"['Crime generally', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7421341451008691486
"['Immigration', 'Government or politics generally']",7409076796525727006
['Government or politics generally'],7412011411582324010
['Government or politics generally'],7421747099533921566
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7367030182009392427
['Government or politics generally'],7342079142344609057
['Government or politics generally'],7410075540226460971
"['Immigration', 'Government or politics generally']",7410889721364237614
"['Biden dropping out of the presidential race', 'Government or politics generally']",7397048367064288542
"['Government or politics generally', 'Biden dropping out of the presidential race']",7397466177980747051
"['Climate change', 'Environment generally', 'Immigration', 'Abortion and reproductive health', 'LGBTQ+ issues, including transgender issues', 'Education', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7402623569672326446
['Government or politics generally'],7389633160562199839
"['Biden dropping out of the presidential race', 'Government or politics generally']",7385599583943937310
"['Crime generally', 'Government or politics generally']",7424637915000524074
['Government or politics generally'],7386288096733662497
"['Economy generally', 'Government or politics generally']",7401905856494767390
['Government or politics generally'],7419342362389876011
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7415240987112394016
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7429108760226090286
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7359573737206811947
"['Crime generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7429000909415337249
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7376717004847303969
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7394552128645123374
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7377424582841535774
['Government or politics generally'],7418349767991872810
"['Immigration', 'Government or politics generally']",7415295762516462878
['Government or politics generally'],7391596718468386091
"['Government or politics generally', 'Economy generally']",7428699017409908014
['Government or politics generally'],7392058343176670510
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7367826256261319944
"['Government or politics generally', 'Republican National Convention (RNC)']",7392798753805094174
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7407979841192070430
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7416174927100857642
"['Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7420987384415685894
"['Assassination attempt on Donald Trump', 'Government or politics generally']",7416032403971444010
['Government or politics generally'],7415825052186430751
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7365880009128447263
"['Crime generally', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7414028346209701126
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7388361823197596958
"['Assassination attempt on Donald Trump', 'Government or politics generally']",7393053148153154858
"['Crime generally', 'Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7421641107546590472
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7384088065679035679
"['Other public health issues', 'Democratic National Convention (DNC)', 'Government or politics generally']",7406336380604927262
"['Government or politics generally', 'Biden dropping out of the presidential race']",7433357218952547627
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally']",7367369825494076714
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7377829868534287662
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7393879892603047210
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7431244220146453803
['Government or politics generally'],7426519963499842847
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7381992588053581088
['Government or politics generally'],7416025870437059871
"['Economy generally', 'Government or politics generally', 'Biden dropping out of the presidential race']",7409431058350984491
"['Biden dropping out of the presidential race', 'Government or politics generally']",7395042144219680046
['Other'],7402005354306866463
"['Crime generally', 'Immigration']",7419539778300890414
"['Racial issues, including affirmative action and racial discrimination', 'Economy generally', 'Government or politics generally']",7385367961764236575
"['Biden dropping out of the presidential race', 'Government or politics generally']",7389392968425262366
"['Abortion and reproductive health', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7406167133920529694
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7399320902518738209
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7417549506536918304
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7421209677481970986
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7397828561521937695
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7397828561521937695
['Government or politics generally'],7420036285441625387
"['Government or politics generally', 'Ukraine war']",7376253881359076651
['Government or politics generally'],7424311811861679402
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7395953769604795679
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7382226261709540651
"['Immigration', 'Guns and gun control', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Covid, including covid vaccines', 'Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7391949183835557151
"['Abortion and reproductive health', 'Government or politics generally']",7419055800301145387
"['Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7344812839544098080
['Government or politics generally'],7413412717119229214
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7420463804036795691
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7401562870598683934
"['Biden dropping out of the presidential race', 'Government or politics generally']",7382164256705334574
"['Racial issues, including affirmative action and racial discrimination', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7374522097202105632
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7429670381625036075
['Government or politics generally'],7396167288778542382
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7424640568527031595
"['Economy generally', 'Government or politics generally']",7377811207010536747
"['Government or politics generally', 'Biden dropping out of the presidential race']",7407539004587035947
['Government or politics generally'],7398929757439626542
"['Other public health issues', 'Government or politics generally']",7423174309880843550
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7383617373959392529
"['Immigration', 'Covid, including covid vaccines', 'Economy generally', 'Government or politics generally']",7393736842329247019
"['Government or politics generally', 'Biden dropping out of the presidential race']",7411644672218615083
"['Guns and gun control', 'Covid, including covid vaccines', 'Government or politics generally']",7392001748325469470
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7364259845391830318
['Government or politics generally'],7407630659407154475
['Government or politics generally'],7413191891782536491
"['Abortion and reproductive health', 'Government or politics generally']",7397506184430816554
"['Covid, including covid vaccines', 'Economy generally', 'Government or politics generally']",7385936925061893406
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7433562798887669022
['Government or politics generally'],7422435365560126750
"['LGBTQ+ issues, including transgender issues', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7379253479304416542
['Government or politics generally'],7426882286299155743
